pdb_id	release_date	title	method	resolution	entity_ids	entities	matched_terms
9ZXD	2026-07-29T00:00:00Z	Structure of AT118-R nanobody in complex with the angiotensin II type I receptor bound to L-162,313	ELECTRON MICROSCOPY	3.2	1;2;3	3:D:BAG2 Anti-BRIL Fab Light Chain | 2:C:BAG2 Anti-BRIL Fab Heavy Chain | 1:A:AT118-R nanobody,Type-1 angiotensin II receptor with Soluble cytochrome b562 insertion	nanobody
9ZXC	2026-07-29T00:00:00Z	Structure of AT118-R nanobody in complex with the angiotensin II type I receptor bound to losartan	ELECTRON MICROSCOPY	3.4	1;2;3	3:D:BAG2 Anti-BRIL Fab Light Chain | 2:C:BAG2 Anti-BRIL Fab Heavy Chain | 1:A:Nanobody AT118-R,Type-1 angiotensin II receptor with Soluble cytochrome b562 insertion	nanobody
9Y7F	2026-09-16T00:00:00Z	Crystal structure of nanobody R3D8 in complex with human voltage-gated sodium channel Nav1.7 P-loop 1.	X-RAY DIFFRACTION	1.7	1;2	2:B:Sodium channel protein type 9 subunit alpha | 1:A:Nanobody R3D8	nanobody
9Y3J	2026-09-09T00:00:00Z	Crystal Structure of Nanobody VHH108 with the L102A Mutation Bound to Its Antigen PA14 Cif	X-RAY DIFFRACTION	1.95	1;2	2:C,D:Nanobody VHH108 with L102A mutation | 1:A,B:CFTR inhibitory factor	nanobody
9Y3I	2026-09-09T00:00:00Z	Crystal Structure of PA14 Cif Bound to Nanobodies VHH108 and VHH219	X-RAY DIFFRACTION	1.8	1;2;3	3:A,B:CFTR inhibitory factor | 2:E,F:Nanobody VHH108 | 1:C,D:Nanobody VHH219	nanobody
9Y1Q	2026-09-09T00:00:00Z	Alternative NBD1-binding geometry in channel-formed, ATP-bound, VX809-bound, T2a-nanobody-bound wild-type human CFTR (Composite map from PHENIX)	ELECTRON MICROSCOPY	3.86	1;2;3	3:C:UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK-UNK | 2:B:T2a nanobody | 1:A:Cystic fibrosis transmembrane conductance regulator	nanobody
9UXS	2026-05-27T00:00:00Z	The local refine of 3D reconstruction of the complex formed by SARS-CoV2 BA.1 spike glycoprotein and a single-domain antibody	ELECTRON MICROSCOPY	3.4	1;2	2:B:Spike glycoprotein | 1:A:single-domain antibody	single-domain antibody
9UVH	2026-01-07T00:00:00Z	Crystal Structure of Shark VNAR Nanobody	X-RAY DIFFRACTION	1.8	1	1:A:Nanobody	nanobody
9UP9	2026-01-07T00:00:00Z	Crystal Structure of Shark VNAR Nanobody	X-RAY DIFFRACTION	2.0	1	1:A:nanobody protein	nanobody
9U43	2026-09-23T00:00:00Z	Cryo-EM structure of D-peptide-GPCR-Gq complex	ELECTRON MICROSCOPY	3.02	1;2;3;4;5;6	6:N:Nanobody 35 | 5:G:Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 | 4:B:Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 | 3:A:Guanine nucleotide-binding protein G(q) subunit alpha-1 | 2:P:Arg-vasopressin | 1:R:exo-alpha-sialidase,Vasopressin V1a receptor	nanobody
9U40	2026-09-23T00:00:00Z	Cryo-EM structure of peptide GPCR-Gq complex	ELECTRON MICROSCOPY	3.04	1;2;3;4;5;6	6:N:Nanobody 35 | 5:G:Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 | 4:B:Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 | 3:A:Guanine nucleotide-binding protein G(q) subunit alpha-1 | 2:P:Arg-vasopressin | 1:R:exo-alpha-sialidase,Vasopressin V1a receptor	nanobody
9SHW	2026-09-09T00:00:00Z	Prefusion-stabilized Nipah virus fusion protein in complex with inhibitory nanobody F112	ELECTRON MICROSCOPY	2.79	1;2	2:Ba,Bb,Bc:F112 nanobody | 1:Aa,Ab,Ac:Fusion glycoprotein F0	nanobody
9SHV	2026-09-09T00:00:00Z	Prefusion-stabilized Hendra virus fusion protein in complex with inhibitory nanobody F123	ELECTRON MICROSCOPY	2.87	1;2	2:Ba,Bb,Bc:F123 nanobody | 1:Aa,Ab,Ac:Fusion glycoprotein F0	nanobody
9MNB	2026-04-22T00:00:00Z	Beta1-tryptase monomer bound to inhibitory Fabs E82.AS and E104.v2	ELECTRON MICROSCOPY	3.0	1;2;3;4;5;6	6:K:Anti-human kappa light chain VHH | 5:E:Heavy chain of E82.AS Fab | 4:F:Light chain of E82.AS Fab | 3:H:Heavy chain of E104v2 Fab | 2:A:Tryptase alpha/beta-1 | 1:L:Light chain of E104.v2 Fab	VHH
28IY	2026-09-23T00:00:00Z	Crystal structure of the TPR domain of KLC1 in complex with the C-terminal peptide of JIP1 at 2.13 Angstrom resolution	X-RAY DIFFRACTION	2.129	1;2	2:F:Nanobody | 1:A:Kinesin light chain,C-Jun-amino-terminal kinase-interacting protein 1 isoform X2	nanobody
